Año;Código de subpartida;Subpartida de gasto;Procedimientos iniciados;Procedimientos adjudicados;Monto adjudicado en colones;Porcentaje
2019;10204;Servicio de telecomunicaciones;185;117;2112450098;0.14
2019;10305;Servicios aduaneros;21;12;16153718;0
2019;10405;Servicios de desarrollo de sistemas informáticos //(2019) Servicios informáticos;449;314;4726279214;0.32
2019;10403;Servicios de ingeniería y arquitectura;1710;798;47353797651;3.24
2019;19901;Servicios de regulación;3;2;5735866;0
2019;10307;Servicios de transferencia electrónica de información //(2019)Servicios de tecnologías de información;636;292;6726254290;0.46
2019;10404;Servicios en ciencias económicas y sociales;1202;593;9377390842;0.64
2019;10406;Servicios generales;3436;1252;68279379652;4.67
2019;10402;Servicios jurídicos;443;307;2428403434;0.17
2019;10401;Servicios médicos y de laboratorio //(2019) Servicios en ciencias de la salud;521;207;7005643778;0.48
2019;50301;Terrenos;39;30;5953763117;0.41
2019;29904;Textiles y vestuario;8712;1497;4890545461;0.33
2019;20104;Tintas, pinturas y diluyentes;7639;1124;2481758295;0.17
2019;60501;Transferencias corrientes a empresas privadas;3;3;7053120;0
2019;10304;Transporte de bienes;265;125;539186745;0.04
2019;10501;Transporte dentro del país;1218;549;4860249579;0.33
2019;10503;Transporte en el exterior;1754;1229;1411808327;0.1
2019;29907;Útiles y materiales de cocina y comedor;2373;209;243261978;0.02
2019;29905;Útiles y materiales de limpieza;7590;933;1422580697;0.1
2019;29901;Útiles y materiales de oficina y cómputo;9363;869;1230032906;0.08
2019;29906;Útiles y materiales de resguardo y seguridad;4868;884;2753231141;0.19
2019;29902;Útiles y materiales médico, hospitalario y de investigación;15835;1746;18266000831;1.25
2019;50202;Vías de comunicación terrestre;2347;765;53217899288;3.64
2019;50203;Vías férreas;13;7;971555630;0.07
2019;10502;Viáticos dentro del país;94;42;506080734;0.03
2019;10504;Viáticos en el exterior;22;14;12918833;0
2020;10701;Actividades de capacitación;3754;2138;6029580481;0.53
2020;10702;Actividades protocolarias y sociales;952;370;6748667629;0.6
2020;50205;Aeropuertos;2;2;1746933474;0.15
2020;20204;Alimentos para animales;234;58;220032490;0.02
2020;20203;Alimentos y bebidas;7234;451;2586735549;0.23
2020;10101;Alquiler de edificios, locales y terrenos;491;324;17062609828;1.51
2020;10103;Alquiler de equipo de cómputo;298;94;3471422601;0.31
2020;10104;Alquiler de equipo y derechos para telecomunicaciones;100;72;414642840;0.04
2020;10102;Alquiler de maquinaria, equipo y mobiliario;1968;798;8468302031;0.75
2020;60203;Ayudas a funcionarios;75;4;13280544;0
2020;60201;Becas a funcionarios;3;2;102000;0
2020;59903;Bienes intangibles;2421;1063;44463128097;3.94
2020;20101;Combustibles y lubricantes;3087;1286;3266849703;0.29
2020;10306;Comisiones y gastos por servicios financieros y comerciales;88;31;2895732268;0.26
2020;19905;Deducibles;220;10;619510;0
2020;50201;Edificios;512;280;72119565485;6.4
2020;50302;Edificios preexistentes;15;9;12837100947;1.14
2020;20503;Energía eléctrica;1;0;0;0
2020;50103;Equipo de comunicación;1851;638;10189109375;0.9
2020;50102;Equipo de transporte;700;262;10447006396;0.93
2020;50106;Equipo sanitario, de laboratorio e investigación;3956;1046;44350244813;3.93
2020;50104;Equipo y mobiliario de oficina;3139;927;5213148590;0.46
2020;50107;Equipo y mobiliario educacional, deportivo y recreativo;5616;334;5775774003;0.51
